Mayor,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
 St. Francis of Assisi School,637,235,98,11,50,17,59,,,,,,,,,,,,,,,
 Queenswood Villa,9,5,1,1,2,1,0,,,,,,,,,,,,,,,
 St. Peter Catholic High School,709,243,67,10,67,33,66,,,,,,,,,,,,,,,
 The Promenade,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
 Portebello Manor,0,8,3,0,3,1,1,,,,,,,,,,,,,,,
 Place Beausejour - Adv 1,0,3,3,0,0,0,0,,,,,,,,,,,,,,,
 Divine Infant Catholic Church Adv 1,0,153,63,1,34,9,46,,,,,,,,,,,,,,,
 Ottawa Public Library (Cumberland) - Adv 2,0,201,74,9,51,14,53,,,,,,,,,,,,,,,
 Polling,8130,2888,976,128,757,258,769,,,,,,,,,,,,,,,
 Adv Vote,16260,354,137,10,85,23,99,,,,,,,,,,,,,,,
Total,8130,3242,1113,138,842,281,868,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CECCE Secteur 9,Reg. Voters, Total Votes,Johanne Lacombe,Véronique Maggiore,Louis-Phil Rouillard,Anick Tremblay,,,,,,,,,,,,,,,,
 Des Voyageurs School ,605,319,132,21,64,102,,,,,,,,,,,,,,,,
Convent Glen Catholic School,451,198,74,10,38,76,,,,,,,,,,,,,,,,
 Residence Saint-Louis,57,26,4,0,6,16,,,,,,,,,,,,,,,,
 Divine Infant Catholic Church,299,127,50,14,15,48,,,,,,,,,,,,,,,,
 Orleans Wood Elementary School,304,147,65,12,30,40,,,,,,,,,,,,,,,,
 Convent Glen Elementary School,546,227,75,19,64,69,,,,,,,,,,,,,,,,
 Orleans Villa,24,35,18,2,8,7,,,,,,,,,,,,,,,,
 Divine Infant School,780,298,100,18,57,123,,,,,,,,,,,,,,,,
 Ecole elementaire Reine-des-Bois,788,337,170,13,48,106,,,,,,,,,,,,,,,,
 Our Lady of Wisdom School,774,317,138,50,36,93,,,,,,,,,,,,,,,,
 Ecole Des Pionniers,799,333,129,62,39,103,,,,,,,,,,,,,,,,
 Fallingbrook Community Centre,565,226,80,37,26,83,,,,,,,,,,,,,,,,
 St. Francis of Assisi School,559,233,74,57,39,63,,,,,,,,,,,,,,,,
 Queenswood Villa,15,10,4,2,1,3,,,,,,,,,,,,,,,,
 St. Peter Catholic High School,771,291,89,35,50,117,,,,,,,,,,,,,,,,
 The Promenade,9,1,1,0,0,0,,,,,,,,,,,,,,,,
 Portebello Manor,0,20,7,4,6,3,,,,,,,,,,,,,,,,
 Place Beausejour - Adv 1,0,42,23,7,6,6,,,,,,,,,,,,,,,,
 Divine Infant Catholic Church Adv 1,0,152,60,17,32,43,,,,,,,,,,,,,,,,
 Ottawa Public Library (Cumberland) - Adv 2,0,254,77,11,60,106,,,,,,,,,,,,,,,,
 Polling,7346,3187,1233,363,533,1058,,,,,,,,,,,,,,,,
 Adv Vote,14692,406,137,28,92,149,,,,,,,,,,,,,,,,
Total,7346,3593,1370,391,625,1207,,,,,,,,,,,,,,,,
