Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Canterbury Recreation Complex,106,46,11,35,,,,,,,,,,,,,,,,,,
St. Luke Elementary School,91,28,9,19,,,,,,,,,,,,,,,,,,
Hawthorne United Church,60,10,4,6,,,,,,,,,,,,,,,,,,
Oakpark Retirement Community - Adv 1,0,0,0,0,,,,,,,,,,,,,,,,,,
Russell Manor - Adv 1,0,0,0,0,,,,,,,,,,,,,,,,,,
Alta Vista Manor - Adv 1,0,0,0,0,,,,,,,,,,,,,,,,,,
Playfair Towers - Adv 1,0,1,1,0,,,,,,,,,,,,,,,,,,
Vista On The Park - Adv 1,0,6,1,5,,,,,,,,,,,,,,,,,,
Playfair Residences - Adv 1,0,4,3,1,,,,,,,,,,,,,,,,,,
Riverbank Apartments - Adv 1,0,1,0,1,,,,,,,,,,,,,,,,,,
Waterford Apartments - Adv 1,0,0,0,0,,,,,,,,,,,,,,,,,,
Ellwood House - Adv 1,0,0,0,0,,,,,,,,,,,,,,,,,,
The Renaissance - Adv 1,0,1,0,1,,,,,,,,,,,,,,,,,,
Pleasant Park Place (2035 Othello) - Adv 1,0,0,0,0,,,,,,,,,,,,,,,,,,
Pleasant Park Place (2025 Othello) - Adv 1,0,0,0,0,,,,,,,,,,,,,,,,,,
Canterbury Square (830 Canterbury) - Adv 1,0,0,0,0,,,,,,,,,,,,,,,,,,
Canterbury Square (850 Canterbury) - Adv 1,0,1,0,1,,,,,,,,,,,,,,,,,,
Lord Halifax Aprts. (2220 Halifax) - Adv 1,0,4,3,1,,,,,,,,,,,,,,,,,,
Lord Halifax Aprts. (2240 Halifax) - Adv 1,0,1,1,0,,,,,,,,,,,,,,,,,,
Russell Gardens (2100 Russell) - Adv 1,0,1,1,0,,,,,,,,,,,,,,,,,,
Russell Gardens (2080 Russell) - Adv 1,0,2,2,0,,,,,,,,,,,,,,,,,,
Daly Co-op Inc. - Adv 1,0,0,0,0,,,,,,,,,,,,,,,,,,
The Dorchester Apartments - Adv 1,0,1,0,1,,,,,,,,,,,,,,,,,,
The Eaton - Adv 1,0,2,2,0,,,,,,,,,,,,,,,,,,
Canterbury Recreation Complex - Adv 1,0,21,9,12,,,,,,,,,,,,,,,,,,
Jim Durrell Complex - Adv 2,0,31,3,28,,,,,,,,,,,,,,,,,,
Polling,1222,437,168,269,,,,,,,,,,,,,,,,,,
Adv Vote,2444,52,12,40,,,,,,,,,,,,,,,,,,
Total,1222,489,180,309,,,,,,,,,,,,,,,,,,
