Ward,LocationCode,LocationName,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O'Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
12,12-004,Garry J. Armstrong Home,175,34,0,0,6,1,4,1,0,1,0,0,0,0,4,0,0,0,0,0,17,0
12,12-005,The Rockcliffe Retirement Residence,105,78,0,0,11,0,1,6,0,0,0,0,0,0,10,0,0,0,0,0,50,0
12,12-006,Montfort Renaissance,28,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,0
12,12-007,Rideau Gardens Retirement Home,106,64,0,0,4,0,2,2,0,0,1,0,0,0,10,0,0,1,0,0,44,0
12,12-008,Eglise Sacre Coeur,1999,613,0,0,174,0,2,14,0,0,0,0,0,7,90,0,1,0,5,6,314,0
12,12-009,Sandy Hill Retirement Residence,38,22,1,0,2,0,2,3,0,1,0,0,0,1,2,0,0,0,1,0,9,0
12,12-010,Ecole elementaire publique Francojeunesse,2069,739,3,0,200,1,2,21,1,1,0,1,1,8,86,0,0,1,3,4,404,2
12,12-011,Rideau Place on the River,87,54,1,0,9,0,1,1,0,0,0,0,0,0,14,0,0,0,1,0,27,0
12,12-012,Sandy Hill Community Centre,2184,791,3,2,231,0,7,18,0,0,0,0,0,10,85,0,2,1,7,4,420,1
12,12-013,Viscount Alexander Public School,1255,382,1,13,81,0,3,6,0,1,1,0,2,6,42,0,0,1,0,4,221,0
12,12-014,Our Lady of Assumption Parish,2839,752,7,2,161,1,14,19,0,0,0,1,0,9,106,0,0,1,5,7,418,1
12,12-015,Edgewood Care Centre,129,60,0,0,6,0,4,1,1,0,0,0,0,0,10,1,0,1,1,0,35,0
12,12-016,Knights of Columbus Hall,3246,740,8,1,109,3,16,44,3,1,3,0,3,10,111,2,1,2,5,1,416,1
12,12-017,Fatima Manor,44,30,1,0,6,0,4,3,0,0,0,0,1,0,0,3,1,0,0,2,9,0
12,12-018,Eglise Notre-Dame-de-Lourdes,2507,712,4,0,133,1,25,39,2,0,0,0,0,13,115,0,1,0,3,7,369,0
12,12-019,Champlain Long Term Care Centre,158,55,0,0,6,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,36,0
12,12-020,Richelieu-Vanier Centre,2503,638,1,0,176,3,13,25,0,0,0,0,2,11,84,1,0,0,5,1,316,0
12,12-021,The St. George Apartments - Adv 1,0,67,0,0,9,0,1,1,0,0,0,0,0,0,23,0,0,0,0,0,33,0
12,12-022,Sussex Place - Adv 1,0,53,0,0,4,1,1,3,0,0,0,0,0,2,10,0,1,0,0,0,30,1
12,12-023,A. Belanger Manor - Adv 1,0,18,1,0,2,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,9,0
12,12-024,City Living (110 Cobourg) - Adv 1,0,32,0,1,3,1,1,3,1,0,0,0,0,0,8,0,0,0,1,0,13,0
12,12-025,O. C. H. (160 Charlotte) - Adv 1,0,95,3,0,9,0,17,6,1,1,0,0,0,2,21,0,1,1,0,0,32,1
12,12-026,O. C. H. (380 Murray) - Adv 1,0,45,0,0,4,1,7,4,0,0,0,1,1,1,7,0,1,0,1,1,16,0
12,12-027,Seigniory Apartments - Adv 1,0,81,3,0,9,0,3,6,0,1,1,0,0,0,11,0,0,0,0,0,46,1
12,12-028,Watergate Apartments - Adv 1,0,128,0,0,10,0,3,13,0,0,1,0,0,0,20,0,0,0,1,2,78,0
12,12-029,O. C. H. (215 Wurtemburg) - Adv 1,0,31,0,1,1,0,4,3,0,0,0,0,1,0,3,0,0,0,0,0,18,0
12,12-030,Rio Vista Apartments - Adv 1,0,64,1,0,4,0,2,4,0,0,0,0,0,1,11,0,0,0,1,0,40,0
12,12-031,Silver Heights Apartments - Adv 1,0,57,3,1,2,0,2,0,0,1,0,0,0,2,11,0,0,0,0,0,33,2
12,12-032,Renaissance Apartments - Adv 1,0,102,0,0,11,0,1,14,0,1,0,0,0,3,11,0,0,0,1,0,60,0
12,12-033,Chateau Vanier Complex - Adv 1,0,278,3,0,39,0,24,21,0,0,0,1,1,0,32,0,0,3,2,0,152,0
12,12-034,Lafontaine Place Apartments - Adv 1,0,111,0,0,8,0,9,9,0,1,0,0,0,0,10,1,0,1,0,0,72,0
12,12-035,Green Valley Terrace - Adv 1,0,68,3,0,6,1,13,5,0,0,1,0,0,0,8,0,0,0,1,0,30,0
